³¯Â¥,PM10,PM2.5
20181009,23.0,6.0
20181010,18.0,8.0
20181011,15.0,4.0
20181012,25.0,9.0
20181013,32.0,17.0
20181014,34.0,19.0
20181015,69.0,39.0
20181016,61.0,32.0
20181017,39.0,17.0
20181018,13.0,5.0
20181019,17.0,4.0
20181020,37.0,16.0
20181021,38.0,19.0
20181022,53.0,31.0
20181023,54.0,33.0
20181024,43.0,17.0
20181025,38.0,15.0
20181026,36.0,15.0
20181027,26.0,6.0
20181028,13.0,5.0
20181029,16.0,3.0
20181030,19.0,4.0
20181031,20.0,7.0
20181101,41.0,18.0
20181102,42.0,21.0
20181103,58.0,34.0
20181104,45.0,29.0
20181105,62.0,37.0
20181106,104.0,70.0
20181107,59.0,40.0
20181108,5.0,5.0
20181109,43.0,22.0
20181110,78.0,48.0
20181111,71.0,43.0
20181112,27.0,11.0
20181113,39.0,19.0
20181114,33.0,17.0
20181115,45.0,26.0
20181116,58.0,39.0
20181117,33.0,16.0
20181118,39.0,22.0
20181119,59.0,30.0
20181120,49.0,14.0
20181121,33.0,17.0
20181122,18.0,5.0
20181123,26.0,9.0
20181124,20.0,9.0
20181125,45.0,33.0
20181126,54.0,37.0
20181127,112.0,49.0
20181128,129.0,20.0
20181129,79.0,18.0
20181130,65.0,21.0
20181201,47.0,18.0
20181202,42.0,17.0
20181203,38.0,22.0
20181204,34.0,17.0
20181205,25.0,8.0
20181206,36.0,11.0
20181207,18.0,10.0
20181208,18.0,4.0
20181209,21.0,6.0
20181210,33.0,12.0
20181211,30.0,13.0
20181212,44.0,20.0
20181213,36.0,19.0
20181214,32.0,14.0
20181215,50.0,29.0
20181216,50.0,34.0
20181217,66.0,40.0
20181218,47.0,22.0
20181219,53.0,28.0
20181220,54.0,28.0
20181221,71.0,39.0
20181222,86.0,56.0
20181223,50.0,27.0
20181224,21.0,7.0
20181225,36.0,18.0
20181226,44.0,20.0
20181227,24.0,5.0
20181228,30.0,11.0
20181229,35.0,7.0
20181230,29.0,16.0
20181231,41.0,26.0
20190101,35.0,24.0
20190102,32.0,21.0
20190103,44.0,27.0
20190104,57.0,40.0
20190105,65.0,43.0
20190106,48.0,24.0
20190107,57.0,37.0
20190108,38.0,17.0
20190109,51.0,20.0
20190110,67.0,38.0
20190111,72.0,52.0
20190112,87.0,62.0
20190113,106.0,78.0
20190114,159.0,122.0
20190115,129.0,80.0
20190116,46.0,18.0
20190117,39.0,21.0
20190118,61.0,39.0
20190119,96.0,67.0
20190120,64.0,31.0
20190121,46.0,21.0
20190122,69.0,35.0
20190123,70.0,41.0
20190124,42.0,20.0
20190125,54.0,23.0
20190126,40.0,18.0
20190127,38.0,24.0
20190128,90.0,23.0
20190129,71.0,24.0
20190130,66.0,35.0
20190131,77.0,23.0
20190201,38.0,17.0
20190202,57.0,38.0
20190203,37.0,30.0
20190204,68.0,35.0
20190205,84.0,27.0
20190206,93.0,34.0
20190207,57.0,31.0
20190208,29.0,17.0
20190209,32.0,16.0
20190210,38.0,22.0
20190211,35.0,20.0
20190212,54.0,33.0
20190213,35.0,17.0
20190214,49.0,24.0
20190215,36.0,27.0
20190216,53.0,44.0
20190217,35.0,27.0
20190218,43.0,29.0
20190219,40.0,34.0
20190220,59.0,50.0
20190221,78.0,66.0
20190222,73.0,57.0
20190223,56.0,39.0
20190224,60.0,49.0
20190225,85.0,64.0
20190226,57.0,32.0
